Method,Name,Error,Occurrences
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/7a0ccfe4-12e7-4df0-b543-57a27998f7b5/agents/1cad5eac-af0c-4d68-be19-6a59a2ab786f (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b0c452ac0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/289aefa2-712b-43c9-9372-abb163cc62e5/addresses/51170e83-df11-4b74-af63-ca9419a95d31 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b05c5abe0>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/85de3a23-92f1-46c9-967d-38caf0a65b7d/agents/08f4b92e-9ffd-48da-94cc-b35ab86b8ecf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b07136280>: Failed to establish a new connection: [Errno 111] Connection refused'))",10
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/4d482237-8048-47ef-90db-77caa0eea199 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b07ca6e50>: Failed to establish a new connection: [Errno 111] Connection refused'))",2
POST,/prime/v1/payment-requests/{paymentRequestID}/uploads,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/payment-requests/d5a149b3-1e08-4a4d-ae5e-9eb7c0db9e3c/uploads (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b04085e80>: Failed to establish a new connection: [Errno 110] Connection timed out'))",3
GET,/support/v1move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/108fc766-2e38-4480-b6c9-6686d47144f0 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b04088940>: Failed to establish a new connection: [Errno 110] Connection timed out'))",3
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/3e482c93-57b9-4b7e-80a4-f36cc68523e9/agents/1a24afb9-baf4-4475-a462-a828d319deff (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af17c9340>: Failed to establish a new connection: [Errno 110] Connection timed out'))",1
GET,/support/v1move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/265de9a9-158f-434b-a95a-c0dac4abe451 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b05f8f1c0>: Failed to establish a new connection: [Errno 111] Connection refused'))",23
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/90a49f08-3399-489d-a79e-4c81b4caf9b0/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af1335d00>: Failed to establish a new connection: [Errno 111] Connection refused'))",19
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/1deaca6e-bd5d-4d33-9879-963f6ae9950b (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b05b17040>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
